"Cluster_name","Bacteria_Host","Lineage"
"Cluster 104",";;;;;;","unclassfied_genus__218"
"Cluster 10400",";;;;;;","unclassfied_genus__219"
"Cluster 10401","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__220"
"Cluster 10402",";;;;;;","unclassfied_genus__221"
"Cluster 10405",";;;;;;","unclassfied_genus__222"
"Cluster 10406","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__223"
"Cluster 10407",";;;;;;","unclassfied_genus__224"
"Cluster 10408",";;;;;;","unclassfied_genus__225"
"Cluster 10409","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;","Gemmiger"
"Cluster 1041",";;;;;;","unclassfied_genus__226"
"Cluster 10410",";;;;;;","unclassfied_genus__227"
"Cluster 10411","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__228"
"Cluster 10412",";;;;;;","unclassfied_genus__229"
"Cluster 10414","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395","Anaerotruncus"
"Cluster 10415",";;;;;;","unclassfied_genus__230"
"Cluster 10416",";;;;;;","unclassfied_genus__231"
"Cluster 10417","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__232"
"Cluster 10419",";;;;;;","unclassfied_genus__233"
"Cluster 1042",";;;;;;","unclassfied_genus__234"
"Cluster 10420","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__235"
"Cluster 10421","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__236"
"Cluster 10423","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__237"
"Cluster 10424",";;;;;;","unclassfied_genus__238"
"Cluster 10427","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__239"
"Cluster 10429","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295","Schaedlerella"
"Cluster 10430","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295","Schaedlerella"
"Cluster 10437",";;;;;;","unclassfied_genus__240"
"Cluster 1044","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__241"
"Cluster 10440","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10441",";;;;;;","unclassfied_genus__242"
"Cluster 10442","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3855;","UBA3855"
"Cluster 10443",";;;;;;","unclassfied_genus__243"
"Cluster 10444",";;;;;;","unclassfied_genus__244"
"Cluster 10445",";;;;;;","unclassfied_genus__245"
"Cluster 10447","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 10448",";;;;;;","unclassfied_genus__246"
"Cluster 10450",";;;;;;","unclassfied_genus__247"
"Cluster 10451",";;;;;;","unclassfied_genus__248"
"Cluster 10452","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia sp009936045","Emergencia"
"Cluster 10453",";;;;;;","unclassfied_genus__249"
"Cluster 10454","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__250"
"Cluster 10457","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403845","14-2"
"Cluster 10459",";;;;;;","unclassfied_genus__251"
"Cluster 1046","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;;","unclassfied_genus__252"
"Cluster 10460","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__253"
"Cluster 10464","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;","Lactobacillus"
"Cluster 10465",";;;;;;","unclassfied_genus__254"
"Cluster 10469",";;;;;;","unclassfied_genus__255"
"Cluster 1047",";;;;;;","unclassfied_genus__256"
"Cluster 10470","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403255","14-2"
"Cluster 10472",";;;;;;","unclassfied_genus__257"
"Cluster 10475",";;;;;;","unclassfied_genus__258"
"Cluster 10478","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;","Acutalibacter"
"Cluster 1048",";;;;;;","unclassfied_genus__259"
"Cluster 10480",";;;;;;","unclassfied_genus__260"
"Cluster 10481","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435","Dysosmobacter"
"Cluster 10482",";;;;;;","unclassfied_genus__261"
"Cluster 10483","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__262"
"Cluster 10486","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 10487","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 1049","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__263"
"Cluster 10491",";;;;;;","unclassfied_genus__264"
"Cluster 10492",";;;;;;","unclassfied_genus__265"
"Cluster 10494","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__266"
"Cluster 10496",";;;;;;","unclassfied_genus__267"
"Cluster 10497","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;","Phocaeicola"
"Cluster 10498","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__268"
"Cluster 105",";;;;;;","unclassfied_genus__269"
"Cluster 1050",";;;;;;","unclassfied_genus__270"
"Cluster 10501",";;;;;;","unclassfied_genus__271"
"Cluster 10502",";;;;;;","unclassfied_genus__272"
"Cluster 10503",";;;;;;","unclassfied_genus__273"
"Cluster 10504","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__274"
"Cluster 10505","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladocola;","Choladocola"
"Cluster 10506","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;;","unclassfied_genus__275"
"Cluster 10507","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;","Mediterraneibacter"
"Cluster 10509","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__276"
"Cluster 1051",";;;;;;","unclassfied_genus__277"
"Cluster 10510",";;;;;;","unclassfied_genus__278"
"Cluster 10513",";;;;;;","unclassfied_genus__279"
"Cluster 10514","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__280"
"Cluster 10515","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__281"
"Cluster 10516",";;;;;;","unclassfied_genus__282"
"Cluster 10517","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;;","unclassfied_genus__283"
"Cluster 10518",";;;;;;","unclassfied_genus__284"
"Cluster 10519",";;;;;;","unclassfied_genus__285"
"Cluster 1052","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__286"
"Cluster 10521",";;;;;;","unclassfied_genus__287"
"Cluster 10523","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__288"
"Cluster 10524",";;;;;;","unclassfied_genus__289"
"Cluster 10525",";;;;;;","unclassfied_genus__290"
"Cluster 10528",";;;;;;","unclassfied_genus__291"
"Cluster 10529",";;;;;;","unclassfied_genus__292"
"Cluster 1053","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__Aphodocola;","Aphodocola"
"Cluster 10530","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__293"
"Cluster 10531",";;;;;;","unclassfied_genus__294"
"Cluster 10532",";;;;;;","unclassfied_genus__295"
"Cluster 10533","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;","CAG-485"
"Cluster 10534","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;","Faecousia"
"Cluster 10535","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;","Lactobacillus"
"Cluster 10536",";;;;;;","unclassfied_genus__296"
"Cluster 10537","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403255","14-2"
"Cluster 10539",";;;;;;","unclassfied_genus__297"
"Cluster 10540",";;;;;;","unclassfied_genus__298"
"Cluster 10541","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__299"
"Cluster 10544","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__300"
"Cluster 10546",";;;;;;","unclassfied_genus__301"
"Cluster 10547",";;;;;;","unclassfied_genus__302"
"Cluster 10549",";;;;;;","unclassfied_genus__303"
"Cluster 1055","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__304"
"Cluster 10553","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__305"
"Cluster 10556",";;;;;;","unclassfied_genus__306"
"Cluster 10558",";;;;;;","unclassfied_genus__307"
"Cluster 10559","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;","Eubacterium_G"
"Cluster 10560",";;;;;;","unclassfied_genus__308"
"Cluster 10561","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__309"
"Cluster 10563",";;;;;;","unclassfied_genus__310"
"Cluster 10565","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;","Blautia_A"
"Cluster 10567",";;;;;;","unclassfied_genus__311"
"Cluster 10568",";;;;;;","unclassfied_genus__312"
"Cluster 10569",";;;;;;","unclassfied_genus__313"
"Cluster 1057","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__314"
"Cluster 10570","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__315"
"Cluster 10571",";;;;;;","unclassfied_genus__316"
"Cluster 10572","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp003611955","1XD8-76"
"Cluster 10573",";;;;;;","unclassfied_genus__317"
"Cluster 10574","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__318"
"Cluster 10575","d__Bacteria;p__Firmicutes_C;;;;;","unclassfied_genus__319"
"Cluster 10576","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__320"
"Cluster 10579","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__321"
"Cluster 1058",";;;;;;","unclassfied_genus__322"
"Cluster 10580",";;;;;;","unclassfied_genus__323"
"Cluster 10581",";;;;;;","unclassfied_genus__324"
"Cluster 10582",";;;;;;","unclassfied_genus__325"
"Cluster 10583",";;;;;;","unclassfied_genus__326"
"Cluster 10584",";;;;;;","unclassfied_genus__327"
"Cluster 10585","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__328"
"Cluster 1059","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__329"
"Cluster 10591",";;;;;;","unclassfied_genus__330"
"Cluster 10592","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395","Anaerotruncus"
"Cluster 10593","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri","Duncaniella"
"Cluster 10594","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__331"
"Cluster 10595","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805","UBA3282"
"Cluster 10598","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia moorei","Bulleidia"
"Cluster 10599","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__332"
"Cluster 106",";;;;;;","unclassfied_genus__333"
"Cluster 1060",";;;;;;","unclassfied_genus__334"
"Cluster 10600","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009936055","Acutalibacter"
"Cluster 10602","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia caecimuris","Adlercreutzia"
"Cluster 10605",";;;;;;","unclassfied_genus__335"
"Cluster 10608","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;","Gemmiger"
"Cluster 10609","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__336"
"Cluster 1061",";;;;;;","unclassfied_genus__337"
"Cluster 10610","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__338"
"Cluster 10611",";;;;;;","unclassfied_genus__339"
"Cluster 10613",";;;;;;","unclassfied_genus__340"
"Cluster 10614","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__MD308 sp000403475","MD308"
"Cluster 10615",";;;;;;","unclassfied_genus__341"
"Cluster 10618","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__342"
"Cluster 10620",";;;;;;","unclassfied_genus__343"
"Cluster 10622",";;;;;;","unclassfied_genus__344"
"Cluster 10623",";;;;;;","unclassfied_genus__345"
"Cluster 10624",";;;;;;","unclassfied_genus__346"
"Cluster 10625",";;;;;;","unclassfied_genus__347"
"Cluster 10626",";;;;;;","unclassfied_genus__348"
"Cluster 10628",";;;;;;","unclassfied_genus__349"
"Cluster 10629","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805","UBA3282"
"Cluster 1063",";;;;;;","unclassfied_genus__350"
"Cluster 10632",";;;;;;","unclassfied_genus__351"
"Cluster 10636","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__352"
"Cluster 10637",";;;;;;","unclassfied_genus__353"
"Cluster 10638",";;;;;;","unclassfied_genus__354"
"Cluster 1064","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;","Desulfovibrio"
"Cluster 10641",";;;;;;","unclassfied_genus__355"
"Cluster 10642","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__356"
"Cluster 10644","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;;","unclassfied_genus__357"
"Cluster 10645",";;;;;;","unclassfied_genus__358"
"Cluster 10648","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;","Acutalibacter"
"Cluster 10649","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;;","unclassfied_genus__359"
"Cluster 1065",";;;;;;","unclassfied_genus__360"
"Cluster 10651",";;;;;;","unclassfied_genus__361"
"Cluster 10654",";;;;;;","unclassfied_genus__362"
"Cluster 10655","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;","Faecousia"
"Cluster 10656",";;;;;;","unclassfied_genus__363"
"Cluster 10658","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__364"
"Cluster 1066",";;;;;;","unclassfied_genus__365"
"Cluster 10660",";;;;;;","unclassfied_genus__366"
"Cluster 10662",";;;;;;","unclassfied_genus__367"
"Cluster 10663","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;","Lachnospira"
"Cluster 10664","d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Bacillaceae_C;g__Siminovitchia;","Siminovitchia"
"Cluster 1067","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;","Desulfovibrio"
"Cluster 10671",";;;;;;","unclassfied_genus__368"
"Cluster 10672","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__369"
"Cluster 10675",";;;;;;","unclassfied_genus__370"
"Cluster 10676","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395","Anaerotruncus"
"Cluster 10677","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__371"
"Cluster 10679","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__372"
"Cluster 1068","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__373"
"Cluster 10680","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10681","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp003612555","Acutalibacter"
"Cluster 10682",";;;;;;","unclassfied_genus__374"
"Cluster 10683","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus porci","Streptococcus"
"Cluster 10686",";;;;;;","unclassfied_genus__375"
"Cluster 10687",";;;;;;","unclassfied_genus__376"
"Cluster 1069","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__377"
"Cluster 10693","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__MD308 sp000403475","MD308"
"Cluster 10695",";;;;;;","unclassfied_genus__378"
"Cluster 10696",";;;;;;","unclassfied_genus__379"
"Cluster 10697","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila","Schaedlerella"
"Cluster 10698",";;;;;;","unclassfied_genus__380"
"Cluster 10699","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;","Faecalibacterium"
"Cluster 107",";;;;;;","unclassfied_genus__381"
"Cluster 1070","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp003669055","Ventrimonas"
"Cluster 10700","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10701",";;;;;;","unclassfied_genus__382"
"Cluster 10702","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;","Acetatifactor"
"Cluster 10703","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__383"
"Cluster 10705",";;;;;;","unclassfied_genus__384"
"Cluster 10707",";;;;;;","unclassfied_genus__385"
"Cluster 10709",";;;;;;","unclassfied_genus__386"
"Cluster 1071",";;;;;;","unclassfied_genus__387"
"Cluster 10710","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__388"
"Cluster 10711","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001304855","Enterocloster"
"Cluster 10713","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525","Acutalibacter"
"Cluster 10714",";;;;;;","unclassfied_genus__389"
"Cluster 10718",";;;;;;","unclassfied_genus__390"
"Cluster 10719","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__391"
"Cluster 1072","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;","Anaerotruncus"
"Cluster 10720",";;;;;;","unclassfied_genus__392"
"Cluster 10721","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;","Roseburia"
"Cluster 10724",";;;;;;","unclassfied_genus__393"
"Cluster 10726",";;;;;;","unclassfied_genus__394"
"Cluster 10727",";;;;;;","unclassfied_genus__395"
"Cluster 10729","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Merdisoma;","Merdisoma"
"Cluster 1073",";;;;;;","unclassfied_genus__396"
"Cluster 10730",";;;;;;","unclassfied_genus__397"
"Cluster 10732",";;;;;;","unclassfied_genus__398"
"Cluster 10734",";;;;;;","unclassfied_genus__399"
"Cluster 10735",";;;;;;","unclassfied_genus__400"
"Cluster 10736","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;","Ruthenibacterium"
"Cluster 10737","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;","Mediterraneibacter_A"
"Cluster 10738",";;;;;;","unclassfied_genus__401"
"Cluster 10739",";;;;;;","unclassfied_genus__402"
"Cluster 1074","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;","CAG-485"
